Fecha;Referencia;Descripción;Importe;Saldo
"26-04-2026";"    2778";"TD POS J0409254852002   ";"16.934,89";"           408,640.84"
"25-04-2026";"    2777";"TD POS J0409254852002   ";"30.231,19";"           391,705.95"
"23-04-2026";"    2776";"TD POS J0409254852002   ";"17.320,90";"           361,474.76"
"22-04-2026";"    2775";"TD POS J0409254852002   ";"25.639,81";"           344,153.86"
"21-04-2026";"    2774";"TD POS J0409254852002   ";"19.352,81";"           318,514.05"
"19-04-2026";"    2773";"TD POS J0409254852002   ";"22.256,69";"           299,161.24"
"18-04-2026";"    2772";"TD POS J0409254852002   ";"34.738,83";"           276,904.55"
"17-04-2026";"    2771";"TD POS J0409254852002   ";"42.289,69";"           242,165.72"
"15-04-2026";"    2770";"COM.REF.BANC.           ";"-8,00";"           199,876.03"
"15-04-2026";"    2769";"TD POS J0409254852002   ";"27.618,02";"           199,884.03"
"15-04-2026";"    2768";"COM MTTO POS            ";"-3.521,60";"           172,266.01"
"14-04-2026";"    2767";"TD POS J0409254852002   ";"55.995,11";"           175,787.61"
"12-04-2026";"    2766";"TD POS J0409254852002   ";"64.377,34";"           119,792.50"
"11-04-2026";"    2765";"TD POS J0409254852002   ";"41.895,14";"            55,415.16"
"10-04-2026";"    2764";"TD POS J0409254852002   ";"13.467,88";"            13,520.02"
"09-04-2026";"    2763";"COMIS. CR.I OB          ";"-228,46";"                52.14"
"09-04-2026";"    2762";"CR.I/OB 47132821 LNACEH ";"-76.153,60";"               280.60"
"09-04-2026";"    2761";"TD POS J0409254852002   ";"76.006,76";"            76,434.20"
"08-04-2026";"    2760";"COMIS. CR.I OB          ";"-745,29";"               427.44"
"08-04-2026";"    2759";"CR.I/OB 47030488 LNACEH ";"-248.430,23";"             1,172.73"
"08-04-2026";"    2758";"TD POS J0409254852002   ";"56.017,31";"           249,602.96"
"07-04-2026";"    2757";"TD POS J0409254852002   ";"6.050,70";"           193,585.65"
"07-04-2026";"    2756";"TC POS J0409254852002   ";"10.173,15";"           187,534.95"
"06-04-2026";"    2755";"TD POS J0409254852002   ";"4.140,44";"           177,361.80"
"06-04-2026";"    2754";"TC POS J0409254852002   ";"3.034,46";"           173,221.36"
"04-04-2026";"    2753";"TD POS J0409254852002   ";"8.699,63";"           170,186.90"
"03-04-2026";"    2752";"TD POS J0409254852002   ";"12.624,60";"           161,487.27"
"02-04-2026";"    2751";"TD POS J0409254852002   ";"49.336,65";"           148,862.67"
"01-04-2026";"    2750";"TD POS J0409254852002   ";"79.727,99";"            99,526.02"
